movement_id,store_id,product_id,user_id,movement_type,quantity,created_at
1,1,33,10,sale,-5,2024-06-01 16:26:00
2,1,35,10,sale,-1,2024-06-01 16:26:00
3,1,7,10,sale,-2,2024-06-01 10:24:00
4,1,8,10,sale,-4,2024-06-01 10:24:00
5,1,9,10,sale,-5,2024-06-01 10:24:00
6,1,35,6,sale,-6,2024-06-01 12:53:00
7,1,17,10,sale,-6,2024-06-01 20:26:00
8,1,18,10,sale,-2,2024-06-01 20:26:00
9,1,16,10,sale,-5,2024-06-01 20:26:00
10,1,20,10,sale,-4,2024-06-01 20:26:00
11,1,12,10,sale,-2,2024-06-01 20:26:00
12,1,33,7,sale,-5,2024-06-01 17:21:00
13,1,35,2,sale,-1,2024-06-01 14:20:00
14,1,36,2,sale,-3,2024-06-01 14:20:00
15,1,37,2,sale,-6,2024-06-01 14:20:00
16,1,39,2,sale,-5,2024-06-01 14:20:00
17,1,7,4,sale,-1,2024-06-01 20:40:00
18,1,56,2,sale,-2,2024-06-01 14:36:00
19,1,60,2,sale,-2,2024-06-01 14:36:00
20,1,57,2,sale,-5,2024-06-01 14:36:00
21,1,3,7,sale,-4,2024-06-01 12:43:00
22,1,4,7,sale,-3,2024-06-01 12:43:00
23,1,8,7,sale,-6,2024-06-01 12:43:00
24,1,6,7,sale,-1,2024-06-01 12:43:00
25,1,10,7,sale,-4,2024-06-01 12:43:00
26,1,24,7,sale,-1,2024-06-01 17:22:00
27,1,27,7,sale,-2,2024-06-01 17:22:00
28,1,28,7,sale,-4,2024-06-01 17:22:00
29,1,55,10,sale,-6,2024-06-01 18:48:00
30,1,54,10,sale,-2,2024-06-01 18:48:00
31,1,56,10,sale,-5,2024-06-01 18:48:00
32,1,52,10,sale,-3,2024-06-01 18:48:00
33,1,15,11,sale,-4,2024-06-01 08:37:00
34,1,26,4,sale,-3,2024-06-01 20:07:00
35,1,29,4,sale,-4,2024-06-01 20:07:00
36,1,25,4,sale,-3,2024-06-01 20:07:00
37,1,27,4,sale,-6,2024-06-01 20:07:00
38,1,22,4,sale,-3,2024-06-01 20:07:00
39,1,49,2,sale,-3,2024-06-01 18:16:00
40,1,42,2,sale,-6,2024-06-01 18:16:00
41,1,48,2,sale,-6,2024-06-01 18:16:00
42,1,40,10,sale,-6,2024-06-01 12:41:00
43,1,34,10,sale,-4,2024-06-01 12:41:00
44,1,32,10,sale,-6,2024-06-01 12:41:00
45,1,3,4,sale,-6,2024-06-01 19:46:00
46,1,7,4,sale,-6,2024-06-01 19:46:00
47,1,8,4,sale,-5,2024-06-01 19:46:00
48,1,10,4,sale,-4,2024-06-01 19:46:00
49,1,6,4,sale,-5,2024-06-01 19:46:00
50,1,36,6,sale,-2,2024-06-01 15:28:00
51,1,51,11,sale,-2,2024-06-01 09:42:00
52,1,57,11,sale,-1,2024-06-01 09:42:00
53,1,55,11,sale,-4,2024-06-01 09:42:00
54,1,2,10,sale,-2,2024-06-01 11:52:00
55,1,9,10,sale,-5,2024-06-01 11:52:00
56,1,49,4,sale,-2,01/06/2024 18:55
57,1,45,4,sale,-1,01/06/2024 18:55
58,1,17,2,sale,-1,2024-06-01 09:30:00
59,1,19,2,sale,-6,2024-06-01 09:30:00
60,1,5,11,sale,-4,2024-06-01 19:58:00
61,1,8,11,sale,-4,2024-06-01 19:58:00
62,1,1,11,sale,-6,2024-06-01 19:58:00
63,1,9,11,sale,-1,2024-06-01 19:58:00
64,1,4,11,sale,-4,2024-06-01 19:58:00
