movement_id,store_id,product_id,quantity,movement_type
1,1,55,-5,transfer_out
2,4,29,-10,damaged
3,1,33,-9,expired
4,2,20,-13,transfer_out
5,4,1,-7,transfer_out
6,2,54,-2,expired
7,1,17,-12,expired
8,3,12,-14,damaged
9,1,55,-8,transfer_out
10,4,5,9,transfer_in
11,1,12,-14,transfer_out
12,2,19,-13,damaged
13,4,44,-12,expired
14,2,54,-11,transfer_out
15,3,54,-9,transfer_out
16,2,34,-6,expired
17,2,16,-15,damaged
18,1,18,10,transfer_in
19,4,5,-10,expired
20,4,42,-11,damaged
21,2,2,-10,transfer_out
22,4,45,7,transfer_in
23,3,48,-3,damaged
24,3,9,-8,expired
25,3,49,-7,expired
26,4,44,7,transfer_in
27,4,2,-9,expired
28,1,17,-1,transfer_out
29,2,29,-9,transfer_out
30,3,17,-5,transfer_out
31,2,28,-15,expired
32,2,41,2,transfer_in
33,3,38,-15,transfer_out
34,1,11,-10,transfer_out
35,2,58,-13,transfer_out
36,2,13,-10,expired
37,1,21,-14,transfer_out
38,2,52,-14,expired
39,1,41,13,transfer_in
40,3,4,-2,transfer_out
41,2,45,-6,transfer_out
42,1,43,-2,expired
43,4,26,-10,transfer_out
44,4,5,-14,expired
45,1,52,-7,damaged
46,1,49,-3,expired
47,4,9,-9,expired
48,4,55,-1,expired
49,4,42,-6,damaged
50,2,3,-2,transfer_out
51,2,56,-11,expired
52,4,53,4,transfer_in
53,1,46,2,transfer_in
54,3,42,-3,transfer_out
55,2,34,-14,expired
56,1,16,1,transfer_in
57,2,10,3,transfer_in
58,2,30,-15,damaged
59,3,26,9,transfer_in
60,3,54,3,transfer_in
61,1,18,-1,transfer_out
62,2,31,-8,damaged
63,1,33,-10,damaged
64,1,39,15,transfer_in
65,1,60,-6,damaged
66,3,52,-1,damaged
67,4,24,-13,transfer_out
68,1,14,13,transfer_in
69,2,60,5,transfer_in
70,4,38,-7,expired
71,4,47,3,transfer_in
72,4,47,-12,damaged
73,3,1,-4,transfer_out
74,4,42,-3,expired
75,4,38,14,transfer_in
76,4,22,-5,expired
77,4,17,-3,expired
78,2,24,-14,expired
79,2,46,-15,transfer_out
80,3,52,-12,expired
81,3,17,-6,damaged
82,3,53,-13,expired
83,2,41,-15,transfer_out
84,3,36,-2,transfer_out
85,3,45,2,transfer_in
86,1,49,-3,damaged
87,3,4,-4,transfer_out
88,3,58,11,transfer_in
89,3,56,-12,damaged
90,3,59,-11,damaged
91,4,43,-9,damaged
92,4,2,-14,damaged
93,4,23,-2,expired
94,1,15,12,transfer_in
95,3,50,3,transfer_in
96,3,42,-1,expired
97,4,40,-3,expired
98,4,56,-12,damaged
99,2,30,-14,damaged
100,1,44,-4,damaged
101,3,17,-6,damaged
102,3,27,-14,expired
103,4,48,-14,expired
104,4,27,-14,transfer_out
105,2,16,-14,expired
106,1,17,-5,damaged
107,2,8,-11,damaged
108,4,4,-1,transfer_out
109,1,35,15,transfer_in
110,2,19,-13,damaged
111,3,3,-2,expired
112,2,41,-3,expired
113,2,38,-8,damaged
114,2,4,-8,expired
115,2,20,15,transfer_in
116,1,11,-14,transfer_out
117,2,6,15,transfer_in
118,2,39,-5,damaged
119,2,3,-15,damaged
120,3,46,-15,damaged
121,3,36,7,transfer_in
122,2,41,-10,damaged
123,3,20,-9,damaged
124,3,48,-8,transfer_out
125,2,40,-1,transfer_out
126,4,12,-15,transfer_out
127,2,1,-14,damaged
128,4,15,-1,expired
129,3,28,-10,damaged
130,1,16,8,transfer_in
131,4,26,-7,expired
132,4,46,-8,damaged
133,4,5,-6,transfer_out
134,2,10,14,transfer_in
135,3,57,-5,damaged
136,3,12,-11,transfer_out
137,4,23,-11,expired
138,3,13,-2,expired
139,3,47,-5,damaged
140,1,55,-4,damaged
141,4,24,12,transfer_in
142,3,3,-6,damaged
143,3,54,-1,transfer_out
144,3,28,-13,damaged
145,4,34,-14,expired
146,4,10,-15,expired
147,3,56,-12,expired
148,1,52,-12,transfer_out
149,3,48,10,transfer_in
150,2,12,-10,transfer_out
