price_history_id,product_id,price,valid_from,valid_to
1,1,0.92,2024-03-08,
2,2,2.11,2024-05-21,
3,3,2.27,2024-04-13,
4,4,1.57,2024-04-15,
5,5,1.43,2024-05-05,
6,6,1.25,2024-03-05,
7,7,0.92,2024-03-11,
8,8,1.71,2024-04-30,
9,9,1.59,2024-04-27,
10,10,1.97,2024-05-03,
11,11,2.55,2024-04-21,
12,12,1.17,2024-05-04,
13,13,2.69,2024-04-21,
14,14,2.14,2024-04-11,
15,15,1.65,2024-04-28,
16,16,1.12,2024-03-21,
17,17,1.16,2024-03-18,
18,18,2.74,2024-04-10,
19,19,1.05,2024-05-14,
20,20,1.73,2024-05-25,
21,21,74.41,2024-04-07,
22,22,16.8,2024-04-13,2025-02-28
23,22,19.76,2025-03-01,
24,23,76.25,2024-03-25,2025-02-28
25,23,89.71,2025-03-01,
26,24,87.83,2024-05-30,
27,25,69.05,2024-03-05,
28,26,60.62,2024-03-10,2025-02-28
29,26,71.32,2025-03-01,
30,27,23.37,2024-04-06,
31,28,49.03,2024-04-28,
32,29,72.15,2024-03-28,
33,30,80.29,2024-04-23,
34,31,5.01,2024-03-25,
35,32,5.39,2024-03-30,
36,33,2.23,2024-04-15,
37,34,3.06,2024-05-01,
38,35,7.66,2024-05-21,
39,36,4.66,2024-05-23,
40,37,6.48,2024-05-15,
41,38,3.9,2024-03-22,2025-02-28
42,38,4.59,2025-03-01,
43,39,3.22,2024-03-15,
44,40,7.77,2024-03-23,
45,41,5.98,2024-03-09,
46,42,3.19,2024-03-26,
47,43,1.61,2024-05-03,
48,44,2.69,2024-03-17,
49,45,2.15,2024-05-03,
50,46,1.35,2024-03-12,
51,47,2.14,2024-05-27,
52,48,1.35,2024-05-01,
53,49,4.34,2024-05-04,
54,50,1.66,2024-03-19,
55,51,1.19,2024-05-19,
56,52,2.33,2024-04-07,
57,53,2.5,2024-05-25,
58,54,3.37,2024-03-10,
59,55,0.58,2024-04-18,
60,56,1.47,2024-05-07,
61,57,2.41,2024-04-07,
62,58,1.61,2024-04-30,
63,59,2.38,2024-03-22,
64,60,0.54,2024-03-23,
