product_id,business_id,sku,name,description,category_id,manufacturer_id,unit_price,unit,active,created_at
1,1,SKU-010001,Cola 500ml,Cola 500ml - standard retail unit,1,2,0.92,unit,True,2024-03-08 00:00:00
2,1,SKU-010002,Orange Juice 1L,Orange Juice 1L - standard retail unit,1,6,2.11,unit,True,2024-05-21 00:00:00
3,1,SKU-010003,Mineral Water 600ml,Mineral Water 600ml - standard retail unit,1,6,2.27,unit,True,2024-04-13 00:00:00
4,1,SKU-010004,Iced Tea 500ml,Iced Tea 500ml - standard retail unit,1,5,1.57,unit,True,2024-04-15 00:00:00
5,1,SKU-010005,Energy Drink 250ml,Energy Drink 250ml - standard retail unit,1,6,1.43,unit,True,2024-05-05 00:00:00
6,1,SKU-010006,Sparkling Water 1L,Sparkling Water 1L - standard retail unit,1,2,1.25,unit,True,2024-03-05 00:00:00
7,1,SKU-010007,Lemonade 500ml,Lemonade 500ml - standard retail unit,1,2,0.92,unit,True,2024-03-11 00:00:00
8,1,SKU-010008,Coffee Drink 300ml,Coffee Drink 300ml - standard retail unit,1,6,1.71,unit,True,2024-04-30 00:00:00
9,1,SKU-010009,Sports Drink 500ml,Sports Drink 500ml - standard retail unit,1,6,1.59,unit,True,2024-04-27 00:00:00
10,1,SKU-010010,Milk 1L,Milk 1L - standard retail unit,1,2,1.97,unit,True,2024-05-03 00:00:00
11,1,SKU-020011,Potato Chips 150g,Potato Chips 150g - standard retail unit,2,6,2.55,unit,True,2024-04-21 00:00:00
12,1,SKU-020012,Chocolate Bar 50g,Chocolate Bar 50g - standard retail unit,2,7,1.17,unit,True,2024-05-04 00:00:00
13,1,SKU-020013,Cookies Pack 200g,Cookies Pack 200g - standard retail unit,2,1,2.69,unit,True,2024-04-21 00:00:00
14,1,SKU-020014,Peanuts 100g,Peanuts 100g - standard retail unit,2,6,2.14,unit,True,2024-04-11 00:00:00
15,1,SKU-020015,Popcorn 100g,Popcorn 100g - standard retail unit,2,1,1.65,unit,True,2024-04-28 00:00:00
16,1,SKU-020016,Crackers 150g,Crackers 150g - standard retail unit,2,6,1.12,unit,True,2024-03-21 00:00:00
17,1,SKU-020017,Granola Bar,Granola Bar - standard retail unit,2,1,1.16,unit,True,2024-03-18 00:00:00
18,1,SKU-020018,Trail Mix 200g,Trail Mix 200g - standard retail unit,2,7,2.74,unit,True,2024-04-10 00:00:00
19,1,SKU-020019,Pretzels 150g,Pretzels 150g - standard retail unit,2,7,1.05,unit,True,2024-05-14 00:00:00
20,1,SKU-020020,Candy Pack,Candy Pack - standard retail unit,2,1,1.73,unit,True,2024-05-25 00:00:00
21,1,SKU-030021,Electric Kettle,Electric Kettle - standard retail unit,3,2,74.41,unit,True,2024-04-07 00:00:00
22,1,SKU-030022,Toaster 2-Slice,Toaster 2-Slice - standard retail unit,3,6,19.76,unit,True,2024-04-13 00:00:00
23,1,SKU-030023,Blender 500W,Blender 500W - standard retail unit,3,6,89.71,unit,True,2024-03-25 00:00:00
24,1,SKU-030024,Hand Mixer,Hand Mixer - standard retail unit,3,8,87.83,unit,True,2024-05-30 00:00:00
25,1,SKU-030025,Rice Cooker,Rice Cooker - standard retail unit,3,6,69.05,unit,True,2024-03-05 00:00:00
