purchase_id,business_id,store_id,user_id,suplier_id,purchase_date,subtotal,tax,status
1,1,1,7,4,2024-06-01 10:00:00,10637.98,1276.56,received
2,1,2,12,7,2024-06-01 08:00:00,10659.0,1279.08,received
3,1,3,8,7,2024-06-01 11:00:00,10386.1,1246.33,received
4,1,4,12,1,2024-06-01 12:00:00,2950.16,354.02,received
5,1,1,10,2,2024-06-15 12:00:00,12893.76,1547.25,received
6,1,2,12,9,2024-06-15 10:00:00,3302.72,396.33,received
7,1,3,5,6,2024-06-15 10:00:00,11425.26,1371.03,received
8,1,4,12,5,2024-06-15 08:00:00,8029.6,963.55,received
9,1,1,7,2,2024-07-01 08:00:00,605.73,72.69,received
10,1,2,3,7,2024-07-01 11:00:00,5300.86,636.1,received
11,1,3,1,10,2024-07-01 09:00:00,4893.19,587.18,received
12,1,4,12,7,2024-07-01 11:00:00,1082.3,129.88,received
13,1,1,7,1,2024-07-15 09:00:00,14268.48,1712.22,received
14,1,2,3,9,2024-07-15 09:00:00,9624.65,1154.96,received
15,1,3,5,1,2024-07-15 10:00:00,5818.84,698.26,received
16,1,4,12,8,2024-07-15 08:00:00,2695.45,323.45,received
17,1,1,7,9,2024-08-01 09:00:00,4856.58,582.79,received
18,1,2,12,7,2024-08-01 12:00:00,7277.7,873.32,received
19,1,3,8,3,2024-08-01 11:00:00,11151.78,1338.21,received
20,1,4,12,2,2024-08-01 10:00:00,5849.85,701.98,received
21,1,1,6,6,2024-08-15 11:00:00,4994.78,599.37,received
22,1,2,12,2,2024-08-15 12:00:00,4310.88,517.31,received
23,1,3,5,7,2024-08-15 11:00:00,6037.17,724.46,received
24,1,4,12,2,2024-08-15 09:00:00,4491.79,539.01,received
25,1,1,10,6,2024-09-01 09:00:00,3017.2,362.06,received
26,1,2,3,8,2024-09-01 10:00:00,5441.83,653.02,received
27,1,3,9,9,2024-09-01 08:00:00,3526.94,423.23,received
28,1,4,12,2,2024-09-01 11:00:00,5458.69,655.04,received
29,1,1,4,9,2024-09-15 12:00:00,8635.35,1036.24,received
30,1,2,3,2,2024-09-15 09:00:00,3791.6,454.99,received
31,1,3,8,1,2024-09-15 11:00:00,5239.69,628.76,received
32,1,4,12,4,2024-09-15 09:00:00,9186.68,1102.4,received
33,1,1,6,5,2024-10-01 11:00:00,1766.19,211.94,received
34,1,2,12,9,2024-10-01 12:00:00,3862.65,463.52,received
35,1,3,9,3,2024-10-01 08:00:00,1195.21,143.43,received
36,1,4,12,6,2024-10-01 12:00:00,9478.33,1137.4,received
37,1,1,11,8,2024-10-15 08:00:00,5942.76,713.13,received
38,1,2,3,2,2024-10-15 08:00:00,2646.67,317.6,received
39,1,3,8,7,2024-10-15 10:00:00,3060.86,367.3,received
40,1,4,12,9,2024-10-15 09:00:00,7524.85,902.98,received
41,1,1,2,8,2024-11-01 09:00:00,5689.16,682.7,received
42,1,2,3,2,2024-11-01 09:00:00,9124.49,1094.94,received
43,1,3,8,2,2024-11-01 09:00:00,8493.09,1019.17,received
44,1,4,12,10,2024-11-01 08:00:00,1952.2,234.26,received
45,1,1,11,10,2024-11-15 12:00:00,10840.49,1300.86,received
46,1,2,3,6,2024-11-15 08:00:00,2208.78,265.05,received
47,1,3,5,10,2024-11-15 08:00:00,8635.78,1036.29,received
48,1,4,12,5,2024-11-15 08:00:00,5452.99,654.36,received
49,1,1,2,7,2024-12-01 08:00:00,7573.16,908.78,received
50,1,2,3,8,2024-12-01 08:00:00,3059.28,367.11,received
51,1,3,8,7,2024-12-01 09:00:00,7563.45,907.61,received
52,1,4,12,1,2024-12-01 11:00:00,6100.16,732.02,received
53,1,1,2,1,2024-12-15 08:00:00,958.9,115.07,received
54,1,2,12,5,2024-12-15 12:00:00,10698.19,1283.78,received
55,1,3,1,9,2024-12-15 08:00:00,8114.82,973.78,received
56,1,4,12,8,2024-12-15 10:00:00,4464.87,535.78,received
57,1,1,4,1,2025-01-01 10:00:00,18659.98,2239.2,received
58,1,2,12,2,2025-01-01 12:00:00,3499.67,419.96,received
59,1,3,5,4,2025-01-01 10:00:00,5663.26,679.59,received
