purchase_item_id,purchase_id,product_id,quantity,unit_cost,subtotal
1,1,21,48,45.79,2197.92
2,1,32,21,3.54,74.34
3,1,10,83,1.08,89.64
4,1,25,39,36.52,1424.28
5,1,35,60,5.13,307.8
6,1,31,77,3.34,257.18
7,1,50,68,1.01,68.68
8,1,7,40,0.47,18.8
9,1,55,42,0.31,13.02
10,1,19,69,0.68,46.92
11,1,29,68,46.18,3140.24
12,1,23,64,45.76,2928.64
13,1,4,86,0.82,70.52
14,2,21,51,40.98,2089.98
15,2,12,40,0.74,29.6
16,2,16,81,0.77,62.37
17,2,14,43,1.2,51.6
18,2,36,39,2.74,106.86
19,2,5,75,0.76,57.0
20,2,42,81,2.21,179.01
21,2,24,68,60.34,4103.12
22,2,23,72,52.35,3769.2
23,2,20,74,1.0,74.0
24,2,11,41,1.38,56.58
25,2,15,96,0.83,79.68
26,3,5,30,0.94,28.2
27,3,29,67,46.97,3146.99
28,3,35,61,4.15,253.15
29,3,42,24,1.99,47.76
30,3,43,87,1.01,87.87
31,3,33,68,1.43,97.24
32,3,15,50,0.91,45.5
33,3,12,35,0.76,26.6
34,3,47,66,1.26,83.16
35,3,2,33,1.06,34.98
36,3,11,83,1.36,112.88
37,3,7,32,0.6,19.2
38,3,54,65,2.27,147.55
39,3,53,45,1.34,60.3
40,3,52,75,1.43,107.25
41,3,8,43,0.89,38.27
42,3,41,99,3.56,352.44
43,3,30,92,47.76,4393.92
44,3,21,33,39.48,1302.84
45,4,45,79,1.31,103.49
46,4,52,43,1.47,63.21
47,4,1,35,0.52,18.2
48,4,60,40,0.32,12.8
49,4,36,89,3.11,276.79
50,4,54,57,2.34,133.38
51,4,8,55,1.11,61.05
52,4,31,96,3.17,304.32
53,4,57,61,1.68,102.48
54,4,15,90,1.1,99.0
55,4,6,95,0.63,59.85
56,4,56,43,0.77,33.11
57,4,25,26,35.87,932.62
58,4,32,86,3.49,300.14
59,4,37,24,3.35,80.4
60,4,11,82,1.52,124.64
61,4,58,37,1.0,37.0
62,4,10,34,1.1,37.4
63,4,33,100,1.35,135.0
64,4,46,42,0.84,35.28
65,5,41,43,3.62,155.66
66,5,3,90,1.54,138.6
67,5,50,42,1.13,47.46
68,5,5,27,0.98,26.46
69,5,59,43,1.3,55.9
70,5,27,48,14.61,701.28
71,5,11,74,1.39,102.86
72,5,43,54,0.92,49.68
73,5,35,46,4.38,201.48
74,5,24,31,48.27,1496.37
75,5,48,59,0.69,40.71
76,5,6,23,0.77,17.71
77,5,42,94,1.63,153.22
78,5,46,46,0.76,34.96
79,5,30,65,55.94,3636.1
80,5,25,77,43.41,3342.57
81,5,40,92,5.22,480.24
82,5,26,50,44.25,2212.5
83,6,20,56,1.19,66.64
84,6,1,60,0.63,37.8
85,6,39,66,1.76,116.16
86,6,10,58,1.1,63.8
87,6,24,30,49.32,1479.6
88,6,33,79,1.48,116.92
89,6,18,22,1.92,42.24
90,6,3,63,1.31,82.53
91,6,28,49,26.47,1297.03
92,7,50,48,0.93,44.64
93,7,28,81,32.44,2627.64
94,7,46,79,0.78,61.62
95,7,51,66,0.65,42.9
96,7,47,88,1.13,99.44
97,7,25,20,35.04,700.8
98,7,54,60,1.82,109.2
99,7,37,62,3.41,211.42
100,7,17,75,0.63,47.25
101,7,23,73,47.29,3452.17
102,7,34,98,1.95,191.1
103,7,26,82,42.67,3498.94
104,7,43,82,1.0,82.0
105,7,55,48,0.38,18.24
106,7,38,78,3.05,237.9
107,8,23,31,62.64,1941.84
108,8,51,35,0.69,24.15
109,8,49,54,2.21,119.34
110,8,48,88,0.92,80.96
111,8,25,81,41.07,3326.67
112,8,27,67,16.01,1072.67
113,8,28,32,30.32,970.24
114,8,60,70,0.3,21.0
115,8,15,52,1.03,53.56
116,8,45,55,1.24,68.2
117,8,38,52,2.94,152.88
118,8,19,73,0.63,45.99
119,8,39,90,1.69,152.1
120,9,3,28,1.24,34.72
121,9,15,60,0.97,58.2
122,9,6,66,0.81,53.46
123,9,5,55,0.72,39.6
124,9,52,55,1.39,76.45
125,9,7,49,0.55,26.95
126,9,45,92,1.5,138.0
127,9,13,44,1.39,61.16
128,9,60,72,0.34,24.48
129,9,10,73,1.27,92.71
130,10,50,71,0.94,66.74
131,10,59,92,1.54,141.68
132,10,26,85,37.5,3187.5
133,10,19,39,0.69,26.91
134,10,18,22,1.82,40.04
135,10,27,63,13.81,870.03
136,10,11,32,1.55,49.6
137,10,16,25,0.72,18.0
138,10,2,34,1.09,37.06
139,10,17,61,0.64,39.04
140,10,57,35,1.37,47.95
141,10,40,20,4.36,87.2
142,10,45,61,1.08,65.88
143,10,14,93,1.31,121.83
144,10,54,96,2.04,195.84
145,10,38,73,2.45,178.85
146,10,55,92,0.32,29.44
147,10,12,88,0.82,72.16
148,10,58,31,0.81,25.11
149,11,20,97,1.2,116.4
150,11,18,97,1.49,144.53
151,11,42,40,1.66,66.4
152,11,51,47,0.78,36.66
153,11,7,77,0.51,39.27
154,11,1,54,0.5,27.0
155,11,53,57,1.57,89.49
156,11,21,78,52.07,4061.46
157,11,50,50,1.1,55.0
158,11,59,92,1.35,124.2
159,11,43,27,0.96,25.92
160,11,14,78,1.37,106.86
161,12,54,63,1.93,121.59
162,12,55,78,0.29,22.62
163,12,22,43,10.45,449.35
164,12,39,34,1.83,62.22
165,12,15,59,1.14,67.26
166,12,48,80,0.68,54.4
167,12,33,20,1.36,27.2
168,12,12,88,0.7,61.6
169,12,4,57,0.98,55.86
170,12,11,90,1.78,160.2
171,13,2,23,1.1,25.3
172,13,3,58,1.26,73.08
173,13,30,85,51.23,4354.55
174,13,25,60,45.15,2709.0
175,13,46,97,0.78,75.66
176,13,36,86,2.65,227.9
177,13,27,90,14.66,1319.4
178,13,43,83,1.11,92.13
179,13,22,20,11.32,226.4
180,13,39,50,2.21,110.5
181,13,23,47,53.8,2528.6
182,13,13,55,1.73,95.15
183,13,8,57,0.96,54.72
184,13,5,27,0.98,26.46
185,13,21,39,40.44,1577.16
186,13,32,52,3.08,160.16
187,13,37,58,3.41,197.78
188,13,20,67,1.11,74.37
189,13,41,81,3.82,309.42
190,13,7,58,0.53,30.74
191,14,54,55,1.99,109.45
192,14,17,61,0.62,37.82
193,14,31,95,2.89,274.55
194,14,14,62,1.34,83.08
195,14,8,98,1.17,114.66
196,14,41,85,3.04,258.4
197,14,21,47,40.84,1919.48
198,14,47,53,1.29,68.37
199,14,37,70,3.47,242.9
200,14,50,30,0.98,29.4
201,14,15,50,1.04,52.0
202,14,51,97,0.7,67.9
203,14,24,70,56.26,3938.2
204,14,23,46,49.54,2278.84
205,14,4,73,0.92,67.16
206,14,52,26,1.26,32.76
207,14,19,72,0.69,49.68
208,15,13,20,1.37,27.4
209,15,59,46,1.47,67.62
210,15,44,78,1.4,109.2
211,15,25,83,41.22,3421.26
212,15,32,23,3.26,74.98
213,15,16,53,0.77,40.81
214,15,29,50,39.48,1974.0
215,15,8,31,0.9,27.9
216,15,52,47,1.61,75.67
217,16,59,75,1.26,94.5
218,16,15,85,1.13,96.05
219,16,49,39,2.21,86.19
220,16,30,42,41.01,1722.42
221,16,51,78,0.71,55.38
222,16,4,59,0.97,57.23
223,16,32,28,3.64,101.92
224,16,3,68,1.48,100.64
225,16,2,87,1.39,120.93
226,16,1,20,0.48,9.6
227,16,18,25,1.64,41.0
228,16,60,80,0.35,28.0
229,16,9,85,1.07,90.95
230,16,58,88,1.03,90.64
231,17,29,73,38.13,2783.49
232,17,42,100,1.62,162.0
233,17,32,40,3.18,127.2
234,17,55,43,0.3,12.9
235,17,30,31,41.7,1292.7
236,17,12,34,0.6,20.4
237,17,43,35,0.96,33.6
238,17,47,35,1.35,47.25
239,17,37,91,3.25,295.75
240,17,6,75,0.79,59.25
241,17,60,76,0.29,22.04
242,18,6,81,0.75,60.75
243,18,15,38,1.02,38.76
244,18,26,81,48.09,3895.29
245,18,27,62,13.77,853.74
246,18,38,30,2.93,87.9
247,18,43,79,0.94,74.26
248,18,9,97,1.09,105.73
249,18,18,87,1.88,163.56
250,18,60,61,0.3,18.3
251,18,21,27,47.59,1284.93
252,18,37,91,3.6,327.6
253,18,7,45,0.64,28.8
254,18,57,93,1.54,143.22
255,18,10,22,0.99,21.78
256,18,32,34,3.37,114.58
257,18,33,45,1.3,58.5
258,19,16,29,0.58,16.82
259,19,22,100,10.45,1045.0
260,19,30,81,42.34,3429.54
261,19,5,51,0.84,42.84
262,19,18,90,1.39,125.1
263,19,60,34,0.36,12.24
264,19,44,73,1.57,114.61
265,19,26,83,39.02,3238.66
266,19,29,59,49.79,2937.61
267,19,39,87,1.88,163.56
268,19,55,86,0.3,25.8
269,20,35,52,4.65,241.8
270,20,39,34,2.22,75.48
271,20,50,92,1.12,103.04
272,20,22,21,11.3,237.3
273,20,25,84,47.85,4019.4
274,20,3,86,1.51,129.86
275,20,12,32,0.73,23.36
276,20,33,30,1.34,40.2
277,20,17,84,0.81,68.04
278,20,27,28,15.2,425.6
279,20,56,40,0.95,38.0
280,20,37,73,3.7,270.1
281,20,38,22,2.61,57.42
282,20,11,43,1.36,58.48
283,20,51,87,0.71,61.77
284,21,2,30,1.31,39.3
285,21,29,99,36.31,3594.69
