sale_id,business_id,store_id,user_id,customer_id,sale_date,subtotal,discount,tax,payment_method,status
1,1,1,10,,2024-06-01 16:26:00,18.81,0.0,2.26,cash,completed
2,1,1,10,150.0,2024-06-01 10:24:00,16.63,0.0,2.0,transfer,completed
3,1,1,6,,2024-06-01 12:53:00,45.96,0.0,5.52,transfer,completed
4,1,1,10,171.0,2024-06-01 20:26:00,27.3,0.0,3.28,transfer,completed
5,1,1,7,78.0,2024-06-01 17:21:00,11.15,0.0,1.34,card,completed
6,1,1,2,80.0,2024-06-01 14:20:00,76.62,0.0,9.19,card,completed
7,1,1,4,148.0,2024-06-01 20:40:00,0.92,0.0,0.11,cash,completed
8,1,1,2,167.0,2024-06-01 14:36:00,16.07,0.0,1.93,cash,completed
9,1,1,7,124.0,2024-06-01 12:43:00,33.18,0.0,3.98,cash,completed
10,1,1,7,129.0,2024-06-01 17:22:00,330.69,0.0,39.68,transfer,completed
11,1,1,10,26.0,2024-06-01 18:48:00,24.56,0.0,2.95,transfer,completed
12,1,1,11,,2024-06-01 08:37:00,6.6,0.0,0.79,cash,completed
13,1,1,4,103.0,2024-06-01 20:07:00,909.21,0.0,109.11,cash,completed
14,1,1,2,,2024-06-01 18:16:00,40.26,0.0,4.83,transfer,completed
15,1,1,10,,2024-06-01 12:41:00,91.2,0.0,10.94,cash,completed
16,1,1,4,50.0,2024-06-01 19:46:00,41.82,0.0,5.02,card,completed
17,1,1,6,,2024-06-01 15:28:00,9.32,0.0,1.12,card,completed
18,1,1,11,,2024-06-01 09:42:00,7.11,0.0,0.85,transfer,completed
19,1,1,10,65.0,2024-06-01 11:52:00,12.17,0.0,1.46,card,completed
20,1,1,4,,01/06/2024 18:55,10.83,0.0,1.3,cash,completed
21,1,1,2,136.0,2024-06-01 09:30:00,7.46,0.0,0.9,card,completed
22,1,1,11,23.0,2024-06-01 19:58:00,25.95,0.0,3.11,cash,completed
23,1,1,10,300.0,2024-06-01 14:06:00,18.14,0.0,2.18,cash,completed
24,1,1,7,,2024-06-01 14:20:00,20.75,0.0,2.49,card,completed
25,1,2,3,222.0,2024-06-01 13:42:00,23.9,0.0,2.87,card,completed
26,1,2,12,160.0,2024-06-01 11:09:00,2.7,0.0,0.32,cash,completed
27,1,2,12,116.0,2024-06-01 19:48:00,1124.66,0.0,134.96,card,completed
28,1,2,3,16.0,2024-06-01 20:36:00,39.61,0.0,4.75,cash,completed
