sale_item_id,sale_id,product_id,quantity,unit_price,discount,subtotal
1,1,33,5,2.23,0.0,11.15
2,1,35,1,7.66,0.0,7.66
3,2,7,2,0.92,0.0,1.84
4,2,8,4,1.71,0.0,6.84
5,2,9,5,1.59,0.0,7.95
6,3,35,6,7.66,0.0,45.96
7,4,17,6,1.16,0.0,6.96
8,4,18,2,2.74,0.0,5.48
9,4,16,5,1.12,0.0,5.6
10,4,20,4,1.73,0.0,6.92
11,4,12,2,1.17,0.0,2.34
12,5,33,5,2.23,0.0,11.15
13,6,35,1,7.66,0.0,7.66
14,6,36,3,4.66,0.0,13.98
15,6,37,6,6.48,0.0,38.88
16,6,39,5,3.22,0.0,16.1
17,7,7,1,0.92,0.0,0.92
18,8,56,2,1.47,0.0,2.94
19,8,60,2,0.54,0.0,1.08
20,8,57,5,2.41,0.0,12.05
21,9,3,4,2.27,0.0,9.08
22,9,4,3,1.57,0.0,4.71
23,9,8,6,1.71,0.0,10.26
24,9,6,1,1.25,0.0,1.25
25,9,10,4,1.97,0.0,7.88
26,10,24,1,87.83,0.0,87.83
27,10,27,2,23.37,0.0,46.74
28,10,28,4,49.03,0.0,196.12
29,11,55,6,0.58,0.0,3.48
30,11,54,2,3.37,0.0,6.74
31,11,56,5,1.47,0.0,7.35
32,11,52,3,2.33,0.0,6.99
33,12,15,4,1.65,0.0,6.6
34,13,26,3,71.32,0.0,213.96
35,13,29,4,72.15,0.0,288.6
36,13,25,3,69.05,0.0,207.15
37,13,27,6,23.37,0.0,140.22
38,13,22,3,19.76,0.0,59.28
39,14,49,3,4.34,0.0,13.02
40,14,42,6,3.19,0.0,19.14
41,14,48,6,1.35,0.0,8.1
42,15,40,6,7.77,0.0,46.62
43,15,34,4,3.06,0.0,12.24
44,15,32,6,5.39,0.0,32.34
45,16,3,6,2.27,0.0,13.62
46,16,7,6,0.92,0.0,5.52
47,16,8,5,1.71,0.0,8.55
48,16,10,4,1.97,0.0,7.88
49,16,6,5,1.25,0.0,6.25
50,17,36,2,4.66,0.0,9.32
51,18,51,2,1.19,0.0,2.38
52,18,57,1,2.41,0.0,2.41
53,18,55,4,0.58,0.0,2.32
54,19,2,2,2.11,0.0,4.22
55,19,9,5,1.59,0.0,7.95
56,20,49,2,4.34,0.0,8.68
57,20,45,1,2.15,0.0,2.15
58,21,17,1,1.16,0.0,1.16
59,21,19,6,1.05,0.0,6.3
60,22,5,4,1.43,0.0,5.72
61,22,8,4,1.71,0.0,6.84
62,22,1,6,0.92,0.0,5.52
63,22,9,1,1.59,0.0,1.59
64,22,4,4,1.57,0.0,6.28
65,23,17,4,1.16,0.0,4.64
66,23,19,5,1.05,0.0,5.25
67,23,15,5,1.65,0.0,8.25
68,24,18,6,2.74,0.0,16.44
69,24,17,1,1.16,0.0,1.16
70,24,19,3,1.05,0.0,3.15
71,25,3,5,2.27,0.0,11.35
72,25,9,5,1.59,0.0,7.95
73,25,1,5,0.92,0.0,4.6
74,26,60,5,0.54,0.0,2.7
75,27,30,6,80.29,0.0,481.74
76,27,29,3,72.15,0.0,216.45
77,27,21,1,74.41,0.0,74.41
78,27,25,2,69.05,0.0,138.1
79,27,26,3,71.32,0.0,213.96
80,28,44,2,2.69,0.0,5.38
81,28,47,3,2.14,0.0,6.42
82,28,49,3,4.34,0.0,13.02
83,28,50,6,1.66,0.0,9.96
84,28,43,3,1.61,0.0,4.83
85,29,50,2,1.66,0.0,3.32
86,29,48,5,1.35,0.0,6.75
87,29,47,1,2.14,0.0,2.14
88,29,43,3,1.61,0.0,4.83
89,30,4,3,1.57,0.0,4.71
90,31,7,6,0.92,0.0,5.52
91,31,9,2,1.59,0.0,3.18
92,32,57,4,2.41,0.0,9.64
93,32,60,1,0.54,0.0,0.54
94,32,59,3,2.38,0.0,7.14
95,32,53,2,2.5,0.0,5.0
96,32,51,5,1.19,0.0,5.95
97,33,5,2,1.43,0.0,2.86
98,33,6,1,1.25,0.0,1.25
99,33,4,5,1.57,0.0,7.85
100,33,3,6,2.27,0.0,13.62
101,34,13,6,2.69,0.0,16.14
102,35,43,4,1.61,0.0,6.44
103,35,48,4,1.35,0.0,5.4
104,35,42,6,3.19,0.0,19.14
105,36,2,4,2.11,0.0,8.44
106,36,10,5,1.97,0.0,9.85
107,36,7,5,0.92,0.0,4.6
108,37,48,1,1.35,0.0,1.35
109,38,59,4,2.38,0.0,9.52
110,38,53,4,2.5,0.0,10.0
111,38,56,3,1.47,0.0,4.41
112,38,60,6,0.54,0.0,3.24
113,38,57,5,2.41,0.0,12.05
114,39,2,3,2.11,0.0,6.33
115,39,3,6,2.27,0.0,13.62
116,39,6,6,1.25,0.0,7.5
117,40,22,3,19.76,0.0,59.28
118,40,27,2,23.37,0.0,46.74
119,40,26,2,71.32,0.0,142.64
120,40,21,3,74.41,0.0,223.23
121,40,23,4,89.71,0.0,358.84
122,41,10,2,1.97,0.0,3.94
123,41,3,2,2.27,0.0,4.54
124,41,7,2,0.92,0.0,1.84
125,42,5,3,1.43,0.0,4.29
126,42,8,4,1.71,0.0,6.84
127,42,4,2,1.57,0.0,3.14
128,42,10,3,1.97,0.0,5.91
129,42,2,6,2.11,0.0,12.66
130,43,43,3,1.61,0.0,4.83
131,43,45,5,2.15,0.0,10.75
132,43,41,1,5.98,0.0,5.98
133,43,46,6,1.35,0.0,8.1
134,43,44,5,2.69,0.0,13.45
135,44,41,4,5.98,0.0,23.92
136,44,47,5,2.14,0.0,10.7
137,44,50,3,1.66,0.0,4.98
138,45,55,4,0.58,0.0,2.32
139,46,49,4,4.34,0.0,17.36
140,46,50,1,1.66,0.0,1.66
141,47,40,5,7.77,0.0,38.85
142,47,39,5,3.22,0.0,16.1
143,47,31,2,5.01,0.0,10.02
144,47,36,6,4.66,0.0,27.96
145,48,49,5,4.34,0.0,21.7
146,49,36,1,4.66,0.0,4.66
147,50,28,6,49.03,0.0,294.18
148,50,23,4,89.71,0.0,358.84
149,50,29,1,72.15,0.0,72.15
