suplier_id,business_id,name,tax_id,phone,email,adress,active
1,1,"Pierce, Parker and Morales",4877672039848,251.350.9398x343,frhodes@foster.net,"USNV Sanders, FPO AP 56552",True
2,1,Hughes-Smith,7181939359991,378-413-7674x2662,kevinmcneil@hatfield.biz,"462 Page Throughway Apt. 326, Angelaton, GU 40083",True
3,1,"Torres, Hansen and Ford",3705839904878,947-314-6273x014,bianca96@burton-alvarez.com,"2902 Murray Square, West Frank, KY 47839",True
4,1,Fields-Friedman,6098335409275,681-783-2192x8554,fergusonmichael@smith.com,"5213 Wesley Village Apt. 898, South Stevenland, DE 17701",True
5,1,Mendoza LLC,7380994474746,(579)485-2401,haileyparker@anderson.biz,"07603 Antonio Shoals, South Davidview, AZ 09184",True
6,1,Contreras-Webster,3180908676150,+1-739-432-5012x495,williamjones@hines.com,"138 Richardson Radial, South Emily, CT 24205",True
7,1,Zavala-Coleman,5005118211105,(715)917-1827x54801,cruzstephen@collins.net,"17520 Powers Locks Suite 811, South Richard, OR 13833",True
8,1,"Schaefer, Levine and Brown",4504586830556,939-861-3674x99465,jdixon@rodriguez-king.info,"10170 Patrick Springs, Ericville, WV 10530",True
9,1,"Walton, Saunders and Sparks",6163417980068,+1-977-784-8588x00616,cramos@thompson.com,"6246 Gallagher Port, Kellerside, OK 62081",True
10,1,Hart-Moore,7885071964636,479-769-5450x090,lisa90@peterson.com,"333 Watkins Spurs, Port Kevinmouth, GA 03084",True
